대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202212,102,102. 망원역 1번출구 앞,단체권,F,20대,1,49.18,0.52,2257.83,60
202212,102,102. 망원역 1번출구 앞,일일권,,20대,46,3174.32,27.67,119247.36,1070
202212,102,102. 망원역 1번출구 앞,일일권,,30대,18,1337.16,10.9,47002.96,439
202212,102,102. 망원역 1번출구 앞,일일권,,40대,7,811.04,6.92,29840.92,209
202212,102,102. 망원역 1번출구 앞,일일권,,50대,1,87.99,0.79,3418.6,73
202212,102,102. 망원역 1번출구 앞,일일권,,60대,2,144.75,1.37,5916.07,34
202212,102,102. 망원역 1번출구 앞,일일권,,~10대,2,285.53,2,8617.28,57
202212,102,102. 망원역 1번출구 앞,일일권,,기타,3,354.1,3.19,13756.99,102
202212,102,102. 망원역 1번출구 앞,일일권,F,20대,32,1222.99,12,51638.42,539
202212,102,102. 망원역 1번출구 앞,일일권,F,30대,12,695.9,7.21,31054.99,238
202212,102,102. 망원역 1번출구 앞,일일권,F,40대,3,290.19,2.92,12578.53,145
202212,102,102. 망원역 1번출구 앞,일일권,F,50대,3,302.28,3.15,13570.95,97
202212,102,102. 망원역 1번출구 앞,일일권,F,~10대,4,485.2,5.15,22212.82,262
202212,102,102. 망원역 1번출구 앞,일일권,F,기타,10,369.48,3.68,15894.51,275
202212,102,102. 망원역 1번출구 앞,일일권,M,20대,35,1453.71,12.43,53721.73,601
202212,102,102. 망원역 1번출구 앞,일일권,M,30대,30,2606.69,21.89,94373,1009
202212,102,102. 망원역 1번출구 앞,일일권,M,40대,16,774.58,6.65,28619.85,260
202212,102,102. 망원역 1번출구 앞,일일권,M,50대,4,1281.09,13.33,57406.02,280
202212,102,102. 망원역 1번출구 앞,일일권,M,~10대,6,227.09,1.95,8359.42,60
202212,102,102. 망원역 1번출구 앞,일일권,M,기타,6,633.88,5.71,24641.27,136
202212,102,102. 망원역 1번출구 앞,일일권(비회원),,기타,8,395.27,3.55,15356.13,123
202212,102,102. 망원역 1번출구 앞,정기권,,20대,289,12650.91,117.39,505844.25,6376
202212,102,102. 망원역 1번출구 앞,정기권,,30대,211,7610.47,69.12,297974.35,3707
202212,102,102. 망원역 1번출구 앞,정기권,,40대,50,3594.91,32.09,138328.81,1369
202212,102,102. 망원역 1번출구 앞,정기권,,50대,26,1158.38,10.54,45453.02,1150
202212,102,102. 망원역 1번출구 앞,정기권,,60대,1,145.3,1.05,4530,29
202212,102,102. 망원역 1번출구 앞,정기권,,~10대,3,40.02,0.44,1876.02,30
202212,102,102. 망원역 1번출구 앞,정기권,,기타,5,503.6,4.66,20153.1,135
202212,102,102. 망원역 1번출구 앞,정기권,F,20대,125,4372.81,45.95,197855.31,2763
202212,102,102. 망원역 1번출구 앞,정기권,F,30대,127,4001.99,39.19,168828.63,2738
202212,102,102. 망원역 1번출구 앞,정기권,F,40대,42,1678.16,18.22,78484.62,736
202212,102,102. 망원역 1번출구 앞,정기권,F,50대,18,691.2,6.85,29538.48,309
202212,102,102. 망원역 1번출구 앞,정기권,F,60대,14,661.57,7.55,32526.2,245
202212,102,102. 망원역 1번출구 앞,정기권,F,~10대,2,214.29,2.17,9339.95,55
202212,102,102. 망원역 1번출구 앞,정기권,F,기타,15,504.89,4.71,20320.16,367
202212,102,102. 망원역 1번출구 앞,정기권,M,20대,120,5007.49,42.74,184177.47,2328
202212,102,102. 망원역 1번출구 앞,정기권,M,30대,129,6564.77,53.25,229448.33,2312
202212,102,102. 망원역 1번출구 앞,정기권,M,40대,48,3730.18,28.87,124430.76,1020
202212,102,102. 망원역 1번출구 앞,정기권,M,50대,30,1848.26,15.11,65095.94,806
202212,102,102. 망원역 1번출구 앞,정기권,M,60대,11,515.98,4.22,18134.37,250
202212,102,102. 망원역 1번출구 앞,정기권,M,70대이상,1,63.85,0.64,2780,55
202212,102,102. 망원역 1번출구 앞,정기권,M,~10대,6,308.24,2.63,11327.96,154
202212,102,102. 망원역 1번출구 앞,정기권,M,기타,18,1306,9.59,41227.08,337
202212,103,103. 망원역 2번출구 앞,단체권,F,40대,5,132.49,1.19,5147.28,235
202212,103,103. 망원역 2번출구 앞,일일권,,20대,32,2276.98,21.52,92772.98,893
202212,103,103. 망원역 2번출구 앞,일일권,,30대,8,483.39,3.99,17158.77,309
202212,103,103. 망원역 2번출구 앞,일일권,,40대,2,61.57,0.62,2652.24,19
202212,103,103. 망원역 2번출구 앞,일일권,,50대,1,36.56,0.31,1318.77,6
202212,103,103. 망원역 2번출구 앞,일일권,,~10대,1,29.79,0.27,1175.45,20
202212,103,103. 망원역 2번출구 앞,일일권,,기타,3,181.56,1.64,7053.89,127
202212,103,103. 망원역 2번출구 앞,일일권,F,20대,22,1014.54,9.86,42515.34,629
202212,103,103. 망원역 2번출구 앞,일일권,F,30대,16,783.98,7.86,33915.63,593
202212,103,103. 망원역 2번출구 앞,일일권,F,40대,1,157.79,1.42,6130,42
202212,103,103. 망원역 2번출구 앞,일일권,F,70대이상,2,91.43,0.63,2716.16,23
202212,103,103. 망원역 2번출구 앞,일일권,F,~10대,4,520.78,5.17,22249.39,215
202212,103,103. 망원역 2번출구 앞,일일권,F,기타,1,60.98,0.64,2750,73
202212,103,103. 망원역 2번출구 앞,일일권,M,20대,26,3289.08,27.07,116707.83,694
202212,103,103. 망원역 2번출구 앞,일일권,M,30대,17,802.64,6.54,28169.26,399
202212,103,103. 망원역 2번출구 앞,일일권,M,40대,3,73.96,0.58,2491.16,16
202212,103,103. 망원역 2번출구 앞,일일권,M,50대,2,46.76,0.42,1816.85,11
202212,103,103. 망원역 2번출구 앞,일일권,M,~10대,6,566,4.81,20671.65,167
202212,103,103. 망원역 2번출구 앞,일일권(비회원),,기타,6,411.02,3.71,15968.13,173
202212,103,103. 망원역 2번출구 앞,정기권,,20대,133,6090.6,55.09,237574.28,3097
202212,103,103. 망원역 2번출구 앞,정기권,,30대,67,3412.95,28.37,122058.81,1418
202212,103,103. 망원역 2번출구 앞,정기권,,40대,47,2901.87,23.73,102315.4,1795
202212,103,103. 망원역 2번출구 앞,정기권,,50대,11,625.73,5.38,23230.29,319
202212,103,103. 망원역 2번출구 앞,정기권,,60대,20,1262.4,10.52,45377.39,1314
202212,103,103. 망원역 2번출구 앞,정기권,,~10대,1,109.43,0.8,3454.27,24
202212,103,103. 망원역 2번출구 앞,정기권,,기타,9,556.53,5.41,23341.53,187
202212,103,103. 망원역 2번출구 앞,정기권,F,20대,59,2598.11,24.91,107448.36,1130
202212,103,103. 망원역 2번출구 앞,정기권,F,30대,83,4212.11,41.72,179907.68,2068
202212,103,103. 망원역 2번출구 앞,정기권,F,40대,13,971.56,9.56,41276.43,398
202212,103,103. 망원역 2번출구 앞,정기권,F,50대,44,2333.31,23.49,101160.41,1397
202212,103,103. 망원역 2번출구 앞,정기권,F,60대,6,503.35,5.29,22809.94,169
202212,103,103. 망원역 2번출구 앞,정기권,F,기타,6,421.48,4.09,17643.73,179
202212,103,103. 망원역 2번출구 앞,정기권,M,20대,139,4911.97,40.99,176744.36,1779
202212,103,103. 망원역 2번출구 앞,정기권,M,30대,77,4382.63,31.68,136505.6,2241
202212,103,103. 망원역 2번출구 앞,정기권,M,40대,35,1927.14,15.25,65784.55,1014
202212,103,103. 망원역 2번출구 앞,정기권,M,50대,55,2368.68,19.85,85557.65,795
202212,103,103. 망원역 2번출구 앞,정기권,M,60대,5,387.24,3.09,13347.29,90
202212,103,103. 망원역 2번출구 앞,정기권,M,70대이상,1,74.97,0.72,3103.72,44
202212,103,103. 망원역 2번출구 앞,정기권,M,~10대,35,1535.01,13.08,56393.77,482
202212,103,103. 망원역 2번출구 앞,정기권,M,기타,13,721.39,5.72,24678.14,275
202212,104,104. 합정역 1번출구 앞,단체권,F,기타,1,46.62,0.51,2180,33
202212,104,104. 합정역 1번출구 앞,일일권,,20대,18,964.56,8.06,34755.58,296
202212,104,104. 합정역 1번출구 앞,일일권,,30대,7,444.9,3.13,13491.22,153
202212,104,104. 합정역 1번출구 앞,일일권,,40대,1,599.35,5.02,21621.62,82
202212,104,104. 합정역 1번출구 앞,일일권,,~10대,1,45.41,0.44,1880,41
202212,104,104. 합정역 1번출구 앞,일일권,,기타,3,766.09,6.89,29733.05,171
202212,104,104. 합정역 1번출구 앞,일일권,F,20대,14,1048.67,9.62,41500.76,321
202212,104,104. 합정역 1번출구 앞,일일권,F,30대,3,121.82,1.3,5560,147
202212,104,104. 합정역 1번출구 앞,일일권,F,~10대,2,386.46,4.19,18081.58,150
202212,104,104. 합정역 1번출구 앞,일일권,F,기타,8,219.9,1.98,8542.98,83
202212,104,104. 합정역 1번출구 앞,일일권,M,20대,29,1560.24,13.19,56880.52,477
202212,104,104. 합정역 1번출구 앞,일일권,M,30대,18,1179.85,9.73,41924.58,421
202212,104,104. 합정역 1번출구 앞,일일권,M,40대,3,289.82,2.27,9761.91,66
202212,104,104. 합정역 1번출구 앞,일일권,M,50대,2,57.32,0.49,2097.68,12
202212,104,104. 합정역 1번출구 앞,일일권,M,~10대,9,661.68,6.06,26143.93,309
202212,104,104. 합정역 1번출구 앞,일일권,M,기타,4,332,2.71,11704,82
202212,104,104. 합정역 1번출구 앞,일일권(비회원),,기타,4,268.87,2.43,10445.76,152
202212,104,104. 합정역 1번출구 앞,정기권,,20대,185,7621.67,63.05,271979.88,2797
202212,104,104. 합정역 1번출구 앞,정기권,,30대,97,4781.82,41.18,177520.53,1762
202212,104,104. 합정역 1번출구 앞,정기권,,40대,11,924.08,7.81,33636.57,385
202212,104,104. 합정역 1번출구 앞,정기권,,50대,10,651.69,5.33,22934.27,224
202212,104,104. 합정역 1번출구 앞,정기권,,60대,5,127.83,1.06,4562.31,108
202212,104,104. 합정역 1번출구 앞,정기권,,~10대,1,42.47,0.4,1730,10
202212,104,104. 합정역 1번출구 앞,정기권,,기타,3,43.57,0.38,1590.32,18
202212,104,104. 합정역 1번출구 앞,정기권,F,20대,55,2561.98,25.53,109892.43,1208
202212,104,104. 합정역 1번출구 앞,정기권,F,30대,28,1453.17,14.34,61825.98,813
202212,104,104. 합정역 1번출구 앞,정기권,F,40대,30,1632.96,15.61,67160.22,879
202212,104,104. 합정역 1번출구 앞,정기권,F,50대,6,132.64,1.53,6616.54,178
202212,104,104. 합정역 1번출구 앞,정기권,F,60대,4,182.96,1.65,7108.29,53
202212,104,104. 합정역 1번출구 앞,정기권,F,70대이상,1,22.55,0.22,964.99,26
202212,104,104. 합정역 1번출구 앞,정기권,F,~10대,12,223.23,2.39,10314.72,222
202212,104,104. 합정역 1번출구 앞,정기권,F,기타,6,235.6,1.98,8602.56,76
202212,104,104. 합정역 1번출구 앞,정기권,M,20대,64,5956.75,48.91,210868.16,1874
202212,104,104. 합정역 1번출구 앞,정기권,M,30대,81,4495.17,37.39,161174.05,2197
202212,104,104. 합정역 1번출구 앞,정기권,M,40대,67,4423.42,35.21,151669.52,2303
