iter	Logloss
0	0.6708900062
1	0.6515103607
2	0.6338648847
3	0.6166094023
4	0.6008247577
5	0.5861581057
6	0.5718720591
7	0.5583056419
8	0.5456416473
9	0.5339882846
10	0.5218310712
11	0.5107629615
12	0.5000279338
13	0.4903043964
14	0.4818891174
15	0.4732219321
16	0.4642233315
17	0.4575391902
18	0.4504258225
19	0.4434004284
20	0.4365753806
21	0.4301369827
22	0.4249121251
23	0.4194223075
24	0.4144813775
25	0.4090772046
26	0.4032553844
27	0.3976788105
28	0.3931472235
29	0.3886417934
30	0.3845103097
31	0.3799323743
32	0.3762439722
33	0.372467167
34	0.3693013076
35	0.366228095
36	0.3633694028
37	0.3605323314
38	0.3579391189
39	0.3558067504
40	0.3520546375
41	0.350145017
42	0.3469806763
43	0.3446090586
44	0.3424794337
45	0.3404806116
46	0.3378918604
47	0.3360437568
48	0.3340493765
49	0.332092615
50	0.3306412073
51	0.3289786769
52	0.3273659279
53	0.3255582593
54	0.3240256665
55	0.3227845385
56	0.3213512785
57	0.320138069
58	0.3185986837
59	0.3175881264
60	0.3162764613
61	0.3154029732
62	0.3144485679
63	0.3133064828
64	0.312435412
65	0.3112970257
66	0.3100570296
67	0.3090927811
68	0.3082060598
69	0.3074153511
70	0.3063937714
71	0.3051936441
72	0.304476302
73	0.3036141171
74	0.302956854
75	0.3019009035
76	0.3011525099
77	0.300671327
78	0.3000456306
79	0.2993755817
80	0.2988464466
81	0.2981294621
82	0.2974416977
83	0.2966637757
84	0.2961710862
85	0.2956054839
86	0.2952701236
87	0.2946318051
88	0.2941515295
89	0.293640749
90	0.2932361279
91	0.2927445728
92	0.2923523881
93	0.2919263724
94	0.2914465058
95	0.2909219944
96	0.2905109247
97	0.2901864841
98	0.2898431209
99	0.289593731
100	0.2891557772
101	0.2888953635
102	0.2885253338
103	0.2882340911
104	0.2878626095
105	0.2874938644
106	0.2871288645
107	0.2867572947
108	0.2865015512
109	0.2861751949
110	0.2858581419
111	0.2855708086
112	0.2852374506
113	0.2848729109
114	0.2846496358
115	0.2844001116
116	0.2840327836
117	0.2836662372
118	0.2833603615
119	0.2830659643
120	0.2828522467
121	0.282549102
122	0.2823436592
123	0.2820388386
124	0.2817459693
125	0.2814563519
126	0.2813008514
127	0.2810350527
128	0.2807579883
129	0.2804232761
130	0.2800284416
131	0.2799188294
132	0.2797189433
133	0.2795024662
134	0.2792619575
135	0.2789405947
136	0.278818052
137	0.2785415172
138	0.2783529629
139	0.2781596334
140	0.2779284637
141	0.2776920319
142	0.2774343165
143	0.2772657492
144	0.2770824341
145	0.2768847927
146	0.2767673653
147	0.2766075121
148	0.2765390971
149	0.2764199356
150	0.2762718225
151	0.2761689079
152	0.2760383611
153	0.2757677754
154	0.2756221421
155	0.2755558928
156	0.2753790722
157	0.2751681705
158	0.2750773285
159	0.274850862
160	0.2746913754
161	0.2745441032
162	0.2743353524
163	0.2741632568
164	0.2739485644
165	0.2738301826
166	0.2737377756
167	0.273491161
168	0.2733945593
169	0.2732456867
170	0.2731437762
171	0.2730541357
172	0.2729074047
173	0.2728197004
174	0.272637634
175	0.272521511
176	0.2723065886
177	0.2721742814
178	0.2721110265
179	0.2719432471
180	0.2717939895
181	0.2716230192
182	0.2715679387
183	0.2713618247
184	0.2713334529
185	0.2712594434
186	0.2710978329
187	0.2709808463
188	0.2709213691
189	0.2708117498
190	0.2706841053
191	0.2704705362
192	0.2704085129
193	0.2702358843
194	0.2701200005
195	0.2700270006
196	0.2698707608
197	0.2697841462
198	0.269665592
199	0.2695373441
200	0.2693644735
201	0.2692199049
202	0.2691675962
203	0.2690665758
204	0.2689742229
205	0.2688408184
206	0.2687567966
207	0.2685260149
208	0.2684111212
209	0.2683235909
210	0.2681524749
211	0.268100753
212	0.2679554066
213	0.2678330848
214	0.2677438335
215	0.2676886082
216	0.2676041305
217	0.2674505517
218	0.2673695143
219	0.2672336356
220	0.2671309715
221	0.2670131066
222	0.2669693562
223	0.2668732841
224	0.2666572259
225	0.2665562886
226	0.2664836187
227	0.2664179002
228	0.2663288659
229	0.2662969853
230	0.2661923353
231	0.2660802477
232	0.2659497008
233	0.2658824711
234	0.2658119526
235	0.2657747734
236	0.2656672959
237	0.2655849125
238	0.2655361487
239	0.2653838879
240	0.2653202687
241	0.2652281018
242	0.2651009838
243	0.2650594895
244	0.2649039837
245	0.2648196834
246	0.26471602
247	0.2646558759
248	0.2646326611
249	0.2645522874
250	0.2644435016
251	0.2643608308
252	0.2642980289
253	0.2641901386
254	0.2641035478
255	0.2640450901
256	0.2638999733
257	0.2638134234
258	0.2637208352
259	0.2636181426
260	0.2635529375
261	0.2634833819
262	0.2634650271
263	0.2634251068
264	0.2633333153
265	0.2632244394
266	0.2630699748
267	0.2630018789
268	0.2629073376
269	0.2628626132
270	0.2627879185
271	0.2626399433
272	0.2625060112
273	0.2623795494
274	0.2622995056
275	0.2622331193
276	0.2621681083
277	0.2621085088
278	0.2620234476
279	0.2619900366
280	0.2618599402
281	0.2617466352
282	0.2615904815
283	0.2615095905
284	0.2614349216
285	0.2613385721
286	0.2611935659
287	0.2610846469
288	0.2609874906
289	0.2608818287
290	0.2607902685
291	0.2607030311
292	0.2606111072
293	0.2604747221
294	0.2604289216
295	0.2603255743
296	0.2601701027
297	0.2601238461
298	0.2600153695
299	0.2599565165
300	0.2598805913
301	0.2597954165
302	0.2597327105
303	0.2596742752
304	0.2595733797
305	0.2595668261
306	0.2594654314
307	0.2593739657
308	0.2593687078
309	0.2593373571
310	0.2592969624
311	0.2591934302
312	0.2591048803
313	0.2589695451
314	0.258937199
315	0.2587704051
316	0.2587207719
317	0.2586183186
318	0.2585168696
319	0.2584160188
320	0.2583847106
321	0.2582991383
322	0.2581983489
323	0.2580827806
324	0.2579589098
325	0.2578937775
326	0.2578024932
327	0.2577110718
328	0.2576690127
329	0.257654296
330	0.2575812264
331	0.2574929851
332	0.2573683952
333	0.2573177061
334	0.2571693237
335	0.2570082146
336	0.2569576627
337	0.2568347357
338	0.2568109793
339	0.2567395732
340	0.2566038989
341	0.2565635867
342	0.2565245455
343	0.2563600988
344	0.2562730915
345	0.2561263911
346	0.2560158796
347	0.2558512147
348	0.2557187222
349	0.2555658955
350	0.2555293191
351	0.2555097533
352	0.2553503323
353	0.2552770909
354	0.2552195265
355	0.2550726061
356	0.2550015164
357	0.2549052506
358	0.2547913729
359	0.2547642763
360	0.2547485461
361	0.2546418356
362	0.2545663669
363	0.2544837574
364	0.2543525696
365	0.2542398018
366	0.2542130955
367	0.2541021446
368	0.2540416747
369	0.253948129
370	0.2538574464
371	0.2538185408
372	0.253744717
373	0.2537121171
374	0.2536571582
375	0.2536471091
376	0.2536187913
377	0.2535315016
378	0.2533896941
379	0.2533022776
380	0.2532453469
381	0.2531774487
382	0.2530940878
383	0.2530711332
384	0.2530547376
385	0.2530131175
386	0.2529974592
387	0.2529246309
388	0.2528011422
389	0.2526646543
390	0.2525737025
391	0.2525357136
392	0.2524936482
393	0.2524213994
394	0.2522961244
395	0.2521598081
396	0.2521330302
